time,row,col,demand
466,6,1,0
187,4,6,19
307,4,2,0
346,5,2,17
603,4,4,46
146,5,4,11
98,2,1,0
519,5,1,0
581,4,7,54
544,1,5,190
75,7,5,0
515,7,4,0
274,4,6,5
113,1,0,0
393,1,0,0
673,6,6,12
663,3,1,20
384,1,7,160
618,1,6,11
514,0,7,0
48,5,4,15
526,5,2,9
715,1,2,190
171,1,5,0
137,7,1,0
452,6,4,33
276,5,0,0
504,6,2,0
474,0,2,34
683,5,1,0
618,7,0,0
128,1,1,4
227,6,2,0
649,2,0,0
717,6,0,0
640,1,2,60
682,6,0,0
605,6,7,75
662,5,7,12
614,5,7,11
46,4,5,54
103,5,1,0
218,1,5,29
53,2,7,0
343,5,2,0
87,3,5,442
296,7,0,0
624,6,1,0
271,1,4,0
389,4,3,131
548,7,2,0
388,0,7,37
585,6,4,0
580,0,5,27
57,0,2,111
127,3,7,0
442,0,2,8
528,7,4,15
96,1,7,43
73,3,1,0
33,5,0,0
171,2,7,0
269,6,4,0
281,4,5,70
552,1,0,26
120,6,5,4
445,0,1,0
637,6,4,0
87,5,5,130
513,5,7,0
341,3,5,37
716,5,5,78
557,5,0,0
443,6,7,0
472,7,3,0
369,2,4,0
51,6,7,0
391,1,2,7
128,4,0,0
707,1,1,0
221,2,3,21
474,5,4,13
305,0,7,40
313,2,0,0
471,2,3,324
263,4,1,5
308,1,3,30
161,2,4,106
500,2,7,81
299,0,6,6
36,7,1,0
282,3,5,23
425,6,1,0
703,1,7,225
99,0,7,4
9,6,3,0
400,7,0,0
156,4,0,0
45,0,6,401
417,7,7,0
361,1,1,0
649,6,5,12
312,1,5,535
642,5,4,30
365,5,1,0
691,6,2,0
518,6,4,67
265,3,6,102
415,2,2,12
612,5,4,0
103,6,5,0
557,3,7,42
381,6,0,0
710,3,7,43
578,2,3,166
286,0,4,41
382,2,4,148
196,3,6,12
623,6,6,28
157,5,6,117
579,6,5,34
65,4,3,30
669,1,2,90
682,5,0,0
244,5,7,17
636,3,5,11
15,6,4,5
62,7,3,0
694,3,7,86
141,7,5,7
483,0,3,50
195,2,0,0
562,7,1,0
672,2,7,181
168,6,4,7
421,1,1,0
536,7,6,0
212,6,4,20
271,4,3,0
725,7,0,0
590,6,5,44
464,0,3,0
505,0,3,67
696,6,6,56
594,6,7,115
104,4,4,0
720,4,1,36
565,0,6,135
42,7,3,0
416,3,1,7
525,7,0,0
699,7,7,13
265,4,1,0
538,2,2,0
303,1,1,19
662,2,0,0
472,3,3,56
180,7,0,0
115,5,5,63
94,3,0,0
686,6,3,0
600,4,1,28
48,2,1,0
121,1,1,0
336,1,4,206
212,2,1,0
570,7,2,16
229,7,5,0
180,0,4,7
232,7,4,0
579,2,4,142
723,2,4,250
482,7,1,0
133,2,0,0
334,4,4,83
112,0,2,17
655,5,0,0
528,1,1,0
717,7,5,13
123,5,2,0
450,1,6,20
244,0,1,0
88,5,2,0
467,2,3,8
